word
abandonner
abattre
abri
absence
absolu
absolument
accent
accepter
accomplir
accord
accorder
accrocher
accuser
acheter
achever
acte
action
admettre
adresser
affaire
affirmer
agent
agir
agiter
aide
aider
aile
ailleurs
aimer
ainsi
ajouter
aller
allumer
alors
amener
amour
amuser
ancien
anglais
angoisse
animal
animer
annoncer
apercevoir
apparence
appartenir
appel
appeler
apporter
apprendre
approcher
appuyer
arbre
argent
arme
armer
arracher
arriver
article
aspect
asseoir
assez
assister
assurer
attacher
attaquer
atteindre
attendre
attention
attirer
attitude
aucun
auquel
aussi
autant
auteur
autour
autre
autrefois
autrement
avance
avancer
avant
avec
avenir
aventure
avis
avoir
avouer
baisser
banc
bande
barbe
bataille
battre
beau
beaucoup
beaux
besoin
bien
billet
blanc
bleu
blond
boire
bois
bonheur
bord
bouche
bout
branche
bras
briller
briser
bruit
bureau
cabinet
cacher
calme
calmer
camarade
campagne
capable
caresser
carte
casser
cause
causer
ceci
cela
celui
cent
centre
cependant
cercle
certain
certes
cerveau
cesse
cesser
chacun
chair
chaise
chaleur
chambre
champ
chance
changement
changer
chant
chanter
chaque
charge
charger
chasse
chasser
chat
chaud
chef
chemin
chemise
cher
chercher
cheval
cheveu
chez
chien
chiffre
choisir
choix
chose
chute
ciel
cinq
cinquante
clair
claire
classe
clef
coeur
coin
colline
colon
combat
combien
commander
comme
commencer
comment
commun
compagnie
compagnon
complet
composer
comprendre
compte
compter
conclure
condamner
condition
conduire
confiance
confier
confondre
conscience
conseil
consentir
construire
consulter
contenir
content
contenter
continuer
contraire
contre
convenir
corde
corps
couche
coucher
couler
couleur
coup
couper
cour
courage
courant
courir
cours
course
court
couvrir
craindre
crainte
creuser
crier
crise
croire
croiser
croix
cruel
cuisine
curieux
dame
danger
dangereux
dans
danser
davantage
debout
dehors
demain
demande
demander
demeurer
demi
dent
depuis
dernier
descendre
dessiner
dessus
deux
devant
devenir
deviner
devoir
dieu
difficile
digne
dimanche
dire
direction
diriger
discours
discussion
discuter
disposer
distance
distinguer
divers
docteur
doigt
dominer
donc
donner
dont
dormir
double
doucement
douceur
douleur
doute
douter
doux
douze
drame
dresser
droit
droite
durant
durer
eaux
effacer
effet
effort
elle
embrasser
emmener
empire
employer
emporter
encore
endormir
endroit
enfance
enfant
enfermer
enfin
enfoncer
engager
enlever
ennemi
ensemble
ensuite
entendre
entier
entourer
entre
entrer
entretenir
envelopper
envie
environ
envoyer
erreur
escalier
espace
espoir
esprit
essayer
essuyer
examiner
exemple
exiger
existence
exister
expliquer
exposer
expression
exprimer
face
facile
faible
faim
faire
fait
falloir
famille
fatigue
fatiguer
faute
fauteuil
FAUX
faveur
femme
ferme
fermer
feuille
fier
figure
figurer
fille
fils
fine
finir
fixe
fixer
flamme
fleur
flot
fois
folie
fonction
fond
fonder
force
forcer
forme
former
fort
fortune
foule
frais
franc
franchir
frapper
froid
front
fruit
fuir
fumer
fusil
gagner
garde
garder
gauche
genou
genre
gens
geste
glace
glisser
gloire
goutte
grain
grand
grandir
grave
gris
gros
groupe
guerre
habiller
habitant
habiter
habitude
haine
hasard
haut
haute
hauteur
herbe
heure
heureux
hier
histoire
hiver
homme
honneur
honte
horizon
hors
huit
humain
humide
ignorer
image
imaginer
immense
immobile
importance
important
importer
imposer
impossible
impression
inconnu
indiquer
inspirer
installer
instant
instinct
intention
interroger
inutile
inventer
inviter
jamais
jambe
jardin
jaune
jeter
jeune
jeunesse
joie
joindre
joli
joue
jouer
jour
journal
juge
juger
jusque
juste
justice
large
larme
lendemain
lentement
lequel
lettre
leur
lever
libre
lien
lier
lieu
ligne
lire
lisser
livre
livrer
loin
long
longtemps
lors
lorsque
loup
lourd
lueur
lune
lutte
lutter
machine
madame
magnifique
main
maintenant
maintenir
mais
maison
malade
maladie
malheur
manger
manier
manquer
marchand
marche
marcher
mari
mariage
marier
marquer
masse
matin
mauvais
meilleur
membre
menacer
mener
mensonge
mentir
mesure
mettre
midi
mien
mieux
milieu
militaire
mille
million
mince
mine
ministre
minute
miser
mode
moindre
moins
mois
moment
monde
monsieur
montagne
monter
montrer
morceau
mort
mourir
mouvement
moyen
muet
musique
naissance
nation
nature
naturel
nerveux
neuf
noir
noire
nombre
nombreux
nommer
nord
note
notre
nourrir
nous
nouveau
nuage
nuit
objet
obliger
observer
obtenir
occasion
occuper
odeur
oeil
oeuvre
officier
offrir
oiseau
ombre
oncle
ordre
oreille
oser
oublier
ouvert
ouvrage
ouvrir
page
pain
paix
palais
papa
papier
paquet
parcourir
pareil
parent
parfois
parler
parmi
parole
part
partager
parti
partie
partir
partout
parvenir
passage
passer
passion
patron
pauvre
payer
pays
paysage
paysan
peau
peine
pencher
pendant
pendre
penser
perdre
perdu
permettre
personnage
personne
perte
peser
petit
peuple
peur
phrase
pied
pierre
place
placer
plaindre
plaine
plaire
plaisir
plan
planche
plante
plein
pleurer
plonger
pluie
plus
plusieurs
poche
poids
point
pointe
poitrine
police
politique
pont
port
porte
porter
portier
poser
position
possible
poste
pour
pourquoi
poursuivre
pourtant
pousser
pouvoir
premier
prendre
presque
presser
preuve
prier
prince
principe
printemps
prison
prix
prochain
produire
professeur
profiter
profond
projet
promener
promettre
prononcer
propos
proposer
propre
prouver
public
puis
puisque
puissance
puissant
quand
quarante
quart
quartier
quatre
quel
quelque
question
queue
quinze
quitter
quoi
race
raconter
raison
ramasser
ramener
rang
rapide
rapidement
rappeler
rapport
rapporter
rare
rassurer
rayon
recevoir
recherche
recueillir
reculer
refuser
regard
regarder
regretter
rejeter
rejoindre
relation
relever
religion
remarquer
remercier
remettre
remonter
remplacer
remplir
rencontre
rencontrer
rendre
renoncer
rentrer
renverser
repas
reposer
repousser
reprendre
respect
respecter
respirer
ressembler
reste
rester
retenir
retirer
retomber
retour
retourner
retrouver
revenir
revoir
riche
rideau
rien
rire
risquer
robe
roche
rocher
roman
rompre
rond
rose
rouge
rouler
route
ruine
sable
saint
saisir
saison
salle
saluer
salut
sang
sans
satisfaire
sauter
sauvage
sauver
savoir
science
second
seconde
secours
secret
seigneur
sein
selon
semaine
semblable
sembler
sens
sentier
sentiment
sentir
sept
serrer
service
servir
seuil
seul
seulement
sien
signe
signer
signifier
silence
silencieux
simple
simplement
situation
social
soin
soir
soit
soldat
soleil
solitude
sombre
somme
sommeil
sommet
songer
sonner
sorte
sortir
soudain
souffler
souffrance
souffrir
souhaiter
soulever
soumettre
source
sourd
sourire
sous
soutenir
souvenir
souvent
spectacle
subir
sueur
suffire
suite
suivant
suivre
sujet
supporter
supposer
surprendre
surtout
surveiller
table
tache
taille
taire
tant
tapis
tard
tellement
temps
tendre
tenir
tenter
terme
terminer
terrain
terre
terreur
terrible
tirer
titre
toile
toit
tombe
tomber
toucher
toujours
tour
tourner
tout
toute
trace
tracer
train
trait
traiter
tranquille
travail
travailler
travers
traverser
trembler
trente
triste
trois
tromper
trop
trou
troubler
trouver
tuer
type
unique
usage
user
vague
vaincre
valeur
valoir
vaste
veille
veiller
vendre
venir
vent
ventre
verre
vers
verser
vert
victime
vide
vieil
vieillard
vieux
village
ville
vingt
violence
violent
visage
visible
vision
visite
vite
vivant
vivre
voici
voie
voile
voir
voisin
voiture
voix
voler
votre
vouloir
vous
voyage
voyager
VRAI
vraiment
yeux
