accepter
accorder
admettre
adresser
affirmer
ailleurs
angoisse
annoncer
apporter
arracher
assister
attacher
attaquer
attendre
attitude
aventure
bataille
beaucoup
camarade
campagne
caresser
chercher
composer
conclure
conduire
contenir
convenir
craindre
demander
demeurer
dessiner
dimanche
discours
discuter
disposer
distance
employer
emporter
endormir
enfermer
enfoncer
ensemble
ensemble
entendre
entourer
escalier
examiner
exprimer
fatiguer
fauteuil
fonction
franchir
habiller
habitant
habitude
histoire
imaginer
immobile
importer
indiquer
inspirer
instinct
inventer
jeunesse
marchand
meilleur
mensonge
ministre
monsieur
montagne
nombreux
observer
occasion
officier
partager
parvenir
personne
personne
plaindre
poitrine
position
possible
pourquoi
pourquoi
pourtant
principe
prochain
produire
profiter
promener
proposer
puissant
quarante
quartier
question
raconter
ramasser
rappeler
rassurer
recevoir
regarder
relation
religion
remettre
remonter
renoncer
respirer
retomber
seigneur
solitude
souffler
souffrir
soulever
soutenir
souvenir
souvenir
supposer
terminer
terrible
toujours
trembler
troubler
violence
vraiment
