absolu
accent
accord
action
agiter
amener
amuser
ancien
animal
animer
argent
aspect
auquel
autant
auteur
autour
avance
avenir
avouer
battre
besoin
billet
bouche
briser
bureau
cacher
calmer
casser
causer
centre
cercle
certes
cesser
chacun
chaise
chance
chaque
charge
chasse
chemin
cheval
cheveu
claire
classe
combat
commun
compte
contre
couche
couler
couper
courir
course
croire
danger
danser
debout
dehors
dehors
demain
demain
depuis
depuis
dessus
devant
devant
devoir
devoir
divers
donner
dormir
double
douter
droite
droite
durant
effort
empire
encore
enfant
ennemi
entier
entrer
erreur
espace
espoir
esprit
exiger
facile
faible
faveur
fermer
figure
flamme
fonder
forcer
former
gagner
garder
gauche
gauche
gloire
goutte
groupe
guerre
hasard
humain
humide
jamais
jardin
jusque
lequel
lettre
lisser
livrer
lutter
madame
maison
malade
manger
manier
marche
marier
membre
mentir
mesure
mettre
milieu
minute
moment
monter
mourir
nation
nature
nombre
nommer
oeuvre
offrir
oiseau
ouvert
ouvrir
palais
papier
paquet
pareil
parent
parler
parole
partie
partir
passer
patron
pauvre
pauvre
paysan
pendre
penser
perdre
peuple
phrase
pierre
placer
plaine
plaire
plante
pointe
police
porter
preuve
prince
prison
projet
propos
propre
public
public
quatre
quinze
raison
rapide
regard
rendre
rester
retour
revoir
rideau
rocher
rompre
rouler
saisir
saison
saluer
sauter
sauver
savoir
savoir
second
secret
secret
sentir
serrer
servir
signer
simple
social
soldat
soleil
sombre
sommet
songer
sonner
sortir
source
suivre
taille
tendre
tendre
tenter
tomber
tracer
trente
triste
unique
valeur
valoir
veille
vendre
ventre
verser
visage
vision
visite
vivant
voisin
voisin
voyage
